state,incidents
Alabama,5122
Alaska,1288
Arizona,2177
Arkansas,2650
California,15171
Colorado,2965
Connecticut,2903
Delaware,1576
District of Columbia,3015
Florida,14197
Georgia,8501
Hawaii,270
Idaho,610
Illinois,16695
Indiana,5517
Iowa,2401
Kansas,1992
Kentucky,3942
Louisiana,7655
Maine,849
Maryland,5422
Massachusetts,5611
Michigan,5391
Minnesota,2087
Mississippi,3326
Missouri,6256
Montana,597
Nebraska,1541
Nevada,1840
New Hampshire,917
New Jersey,5149
New Mexico,1562
New York,9359
North Carolina,8263
North Dakota,542
Ohio,9643
Oklahoma,3246
Oregon,2147
Pennsylvania,8413
Rhode Island,843
South Carolina,6567
South Dakota,518
Tennessee,7241
Texas,12890
Utah,1015
Vermont,452
Virginia,5650
Washington,3230
West Virginia,1493
Wisconsin,4410
Wyoming,480
